order,id,date,time,title,url,visitCount,typedCount,transition
1,4935,6/9/2025,14:59:00,Quick Chrome History Export,https://blockwebsite.tilda.ws/historyexportchrome,1,0,link
2,4934,6/9/2025,14:58:50,Quick Chrome History Export - Chrome Web Store,https://chromewebstore.google.com/detail/quick-chrome-history-expo/acjbkgbpefalkaebgodhnbdgjbignonj?hl=en&pli=1,1,0,link
3,4933,6/9/2025,14:58:49,Quick Chrome History Export - Chrome Web Store,"https://chromewebstore.google.com/detail/quick-chrome-history-expo/acjbkgbpefalkaebgodhnbdgjbignonj?hl=en&pli=1#:~:text=%E2%96%B8%20Open%20the%20extension%20interface,and%20retrieve%20your%20file%20immediately!",1,0,link
4,4929,6/9/2025,14:58:45,how to download chrome history as csv - Google Search,https://www.google.com/search?q=how+to+download+chrome+history+as+csv&oq=how+to+download+chrome+history+as+csv&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIHCAEQIRigATIHCAIQIRiPAtIBCTExMjcwajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,1,0,generated
5,4038,6/9/2025,14:36:01,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/introduction-into-kafka-streams,5,0,link
6,4928,6/9/2025,14:35:21,Shevchuk_DE_Data_streaming_hw1,file:///Users/shevdan/Downloads/Shevchuk_DE_Data_streaming_hw1.pdf,1,0,link
7,4909,6/9/2025,12:46:41,Shevchuk_DE_Data_streaming_hw1 - Google Docs,https://docs.google.com/document/d/1PKx-luU6X9bpDkb1ZO7DCJtLay9wt8w5h7Zdxr90utE/edit?tab=t.0,5,0,link
8,4924,6/9/2025,12:46:40,Shevchuk_DE_Data_streaming_hw1 - Google Docs,https://docs.google.com/document/d/1PKx-luU6X9bpDkb1ZO7DCJtLay9wt8w5h7Zdxr90utE/edit?tab=t.0#heading=h.4t7yilq0v836,2,0,link
9,719,6/9/2025,12:44:06,Оцінки - Шевчук Богдан | LMS Moodle at UCU,https://learn.ucu.edu.ua/grade/report/overview/index.php,77,0,link
10,4466,6/9/2025,12:44:01,Data Visualization (2.24-25.PKN24/M): Курсовий проєкт | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/assign/view.php?id=101771,9,0,link
